RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Haaren;G0788;11155;Noord-Brabant;P30;11416;6250;8;26;6216;740;1118;1237;530;322;548;344;456;;237;202;;10;;327;14;;46;;;;;;;;;58;;27;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;117251;67815;224;189;67402;7531;8065;3181;13443;8186;8238;3223;3276;2031;5054;;;1331;1751;;1086;;;;;732;;274;;;;;;;;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;112745;60057;190;116;59751;12774;10427;5039;6006;4594;4548;4173;2241;2888;2422;;;603;2116;;896;;;;;725;;299;;;;;;;;;;;;;;
Halderberge;G1655;10397;Noord-Brabant;P30;23526;11840;26;17;11797;2037;2064;1805;690;611;604;1249;954;;345;493;;104;;410;24;;131;;;;;;;;;72;;204;;;;;;;;
Hardenberg;G0160;10174;Overijssel;P23;46518;28307;58;65;28184;4117;2860;6366;1422;1828;771;2246;1300;4535;564;1390;751;34;;;;;;;;;;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;35623;21072;57;45;20970;2898;3172;2562;1573;1551;1123;1201;718;3112;680;708;729;671;;;;;;;;;;;239;;;;;;;;;;33;;;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13579;8807;11;11;8785;1073;819;760;176;493;159;568;236;1937;136;247;2077;16;;;22;;;;;;41;3;;;;;;;;;;;22;;;
Harlingen;G0072;10909;Fryslân;P21;12389;7135;19;17;7099;1233;760;1012;521;1099;228;424;403;321;319;250;39;3;;;;246;;;;;;;;;;;;;;159;;82;;;;
Hattem;G0244;10673;Gelderland;P25;9421;6245;14;19;6212;654;740;857;599;629;317;247;223;1374;181;140;197;17;;;;;;;;;;;32;;;;;;;;;;5;;;
Heemskerk;G0396;10679;Noord-Holland;P27;30489;16938;51;55;16832;3113;2018;1621;2268;1634;1185;1157;1062;533;703;;;204;617;;326;;;;;341;;50;;;;;;;;;;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;20530;14038;31;26;13981;1510;3583;1326;1840;1103;2024;386;365;404;749;;;17;385;;162;;;;;105;;22;;;;;;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;14615;8911;26;22;8863;1025;804;1647;670;799;314;575;332;1585;304;252;440;16;;;;;;;;;;;66;;;;;;;;;;34;;;
Heerenveen;G0074;10680;Fryslân;P21;39251;23290;88;83;23119;2695;2869;2789;2101;3897;1297;1145;1370;1106;812;602;105;116;;;;1526;;;;;;;;;;;;;;465;;224;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;42056;22249;93;77;22079;4129;3253;1947;2208;1843;1660;1457;1396;707;876;;;238;676;;654;;;;;980;;55;;;;;;;;;;;;;;
Heerlen;G0917;10902;Limburg;P31;68847;32821;122;100;32599;4627;2444;3704;2276;2036;1406;5628;5627;370;1839;1197;;362;;;;;;;1083;;;;;;;;;;;;;;;;;
Heeze-Leende;G1658;10462;Noord-Brabant;P30;12693;7540;25;35;7480;892;1437;1411;581;481;674;445;539;;288;298;;12;;188;22;;86;;;;;;;;;83;;43;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;18582;12443;23;27;12393;1698;2360;1075;1751;1291;1322;511;472;412;771;;;23;312;;167;;;;;215;;13;;;;;;;;;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;28133;17432;40;53;17339;2462;2092;5112;1446;1098;725;1179;946;1189;334;542;180;34;;;;;;;;;;;;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;31398;16483;52;50;16381;4572;2648;853;892;1403;788;1647;741;429;674;1123;82;201;;;42;;;;;;238;28;;;;;;;;;;;20;;;
Helmond;G0794;10932;Noord-Brabant;P30;66356;31880;125;120;31635;5232;4505;2735;2722;2037;2068;4242;3171;;979;1811;;718;;414;67;;317;;;;;;;;;414;;203;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;22998;13795;31;33;13731;2442;2064;991;565;769;731;907;483;1220;365;549;2241;77;;;55;;;;;;236;19;;;;;;;;;;;17;;;
Hengelo;G0164;10907;Overijssel;P23;62792;35463;93;111;35259;5092;4936;4173;3678;3789;2524;2774;3795;1167;1355;1205;152;619;;;;;;;;;;;;;;;;;;;;;;;;
Het Hogeland ;G1966;10246;Groningen;P20;37766;23088;35;76;22977;1899;1652;3179;2179;3054;776;1115;1739;3206;816;378;;12;;;;;;1988;;;;;;;984;;;;;;;;;;;
Heumen;G0252;10600;Gelderland;P25;13020;8119;26;25;8068;923;1356;1087;1146;726;844;350;613;157;383;347;7;18;;;;;;;;;;;111;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;34072;18311;49;77;18185;2911;3395;2303;1323;1007;1442;1538;1474;;634;730;;183;;470;37;;339;;;;;;;;;252;;147;;;;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;16572;9710;35;21;9654;1987;1792;885;889;694;814;661;312;247;433;665;66;60;;;28;;;;;;111;10;;;;;;;;;;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;12201;7310;18;18;7274;858;1460;1476;568;427;611;350;604;;269;263;;3;;182;21;;57;;;;;;;;;85;;40;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;65072;38497;100;95;38302;4842;6174;2334;5956;3290;4880;2050;1694;1882;2338;;;630;1396;;471;;;;;265;;100;;;;;;;;;;;;;;
Hoeksche Waard;G1963;10222;Zuid-Holland;P28;68539;40385;95;77;40213;8067;5982;4170;2113;2797;2282;2590;1624;2563;1393;1723;4228;46;;;205;;;;;;364;19;;;;;;;;;;;47;;;
Hof van Twente;G1735;10076;Overijssel;P23;27800;17481;45;33;17403;2302;3238;4549;1151;1777;969;959;909;316;422;613;115;83;;;;;;;;;;;;;;;;;;;;;;;;
Hollands Kroon;G1911;10344;Noord-Holland;P27;38498;20712;47;56;20609;4484;3065;2589;1361;1528;1110;1520;1034;716;644;;;19;492;;293;;;;;1736;;18;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;43064;24046;61;77;23908;3980;2174;3770;1213;2202;928;2207;1909;2396;528;799;654;81;;;;;;;;;;;;;;;712;;;;228;;;127;;
Hoorn;G0405;11392;Noord-Holland;P27;55195;29755;98;105;29552;5190;3952;2012;3923;3016;2364;2057;1913;808;1551;;;398;915;;555;;;;;805;;93;;;;;;;;;;;;;;
Horst aan de Maas;G1507;11108;Limburg;P31;32712;18302;31;67;18204;2391;1862;5545;1308;950;1455;1412;1809;138;446;552;;23;;;;;;;313;;;;;;;;;;;;;;;;;
Houten;G0321;10230;Utrecht;P26;36944;23945;41;49;23855;2757;3890;2716;3818;1852;2039;1142;818;2181;943;736;659;65;;;;;;;;;;;;;;;;;239;;;;;;;
Huizen;G0406;11170;Noord-Holland;P27;32156;19576;41;45;19490;3130;3476;1838;1871;1589;1495;1152;628;2086;824;;;220;652;;228;;;;;251;;50;;;;;;;;;;;;;;
Hulst;G0677;11408;Zeeland;P29;19998;10699;35;37;10627;1586;1274;2311;513;875;458;821;862;99;337;918;57;12;;;;;;;;;;;;504;;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;25846;14614;39;43;14532;2240;2938;1606;1542;1129;1162;1004;722;609;507;568;169;190;;;;;;;;;;;;;;;;;146;;;;;;;
Kaag en Braassem;G1884;10349;Zuid-Holland;P28;20958;12476;33;27;12416;2459;2636;1767;839;714;1161;716;391;343;412;698;60;29;;;52;;;;;;131;8;;;;;;;;;;;;;;
Kampen;G0166;10253;Overijssel;P23;40083;26033;57;68;25908;3215;2150;3421;2075;1410;959;1818;1146;4859;586;733;3304;232;;;;;;;;;;;;;;;;;;;;;;;;
Kapelle;G0678;11223;Zeeland;P29;9665;6565;8;11;6546;659;820;1286;284;450;215;300;198;492;180;252;1036;3;;;;;;;;;;;;371;;;;;;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;48686;29838;88;69;29681;7206;3296;3358;969;1220;1054;1752;616;4002;704;1557;3389;131;;;70;;;;;;335;22;;;;;;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;34771;16843;36;41;16766;2492;905;2197;974;1201;364;3485;2362;126;701;976;;95;;;;;;;888;;;;;;;;;;;;;;;;;
Koggenland;G1598;10354;Noord-Holland;P27;17624;10774;20;48;10706;1889;2144;1860;880;795;617;622;512;177;390;;;10;288;;201;;;;;309;;12;;;;;;;;;;;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;22613;14396;38;31;14327;2417;1788;936;712;1025;770;965;475;1236;428;643;2516;57;;;28;;;;;;311;20;;;;;;;;;;;;;;
Krimpenerwaard;G1931;10050;Zuid-Holland;P28;43440;27409;68;66;27275;4392;4465;2522;1389;1910;1598;1573;927;2499;959;1254;3172;128;;;74;;;;;;389;24;;;;;;;;;;;;;;
Laarbeek;G1659;10173;Noord-Brabant;P30;17550;9589;30;40;9519;1326;1304;2119;576;598;612;804;992;;277;381;;8;;188;23;;76;;;;;;;;;96;;139;;;;;;;;
Landerd;G1685;10276;Noord-Brabant;P30;12167;6967;15;38;6914;895;1156;1171;322;310;450;466;806;;167;221;;4;;803;5;;42;;;;;;;;;59;;37;;;;;;;;
Landgraaf;G0882;11335;Limburg;P31;30175;15605;52;55;15498;2260;1008;1418;910;966;561;3345;1749;159;621;574;;58;;;;;;;1869;;;;;;;;;;;;;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;8807;5740;14;22;5704;1206;790;339;777;608;549;384;349;106;294;;;27;171;;59;;;;;40;;5;;;;;;;;;;;;;;
Langedijk;G0416;10955;Noord-Holland;P27;21687;13072;46;36;12990;2311;2035;1468;1418;1032;959;783;589;629;565;;;53;376;;292;;;;;460;;20;;;;;;;;;;;;;;
Lansingerland;G1621;10139;Zuid-Holland;P28;44349;26619;53;60;26506;4812;5794;2744;1778;1450;2606;1442;613;2131;897;1101;342;228;;;80;;;;;;403;85;;;;;;;;;;;;;;
Laren;G0417;10649;Noord-Holland;P27;8646;5649;18;9;5622;863;2036;471;407;287;558;204;158;123;261;;;13;136;;40;;;;;62;;3;;;;;;;;;;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;95966;54435;129;130;54176;7122;5000;5322;6210;9969;2998;2801;3313;2627;2636;1697;191;174;;;;3025;;;;;;;;;;;;;;508;;583;;;;
Leiden;G0546;10702;Zuid-Holland;P28;93207;56685;151;202;56332;6341;7107;2890;10768;5922;9332;2518;2567;2001;3734;1466;237;853;;;148;;;;;;268;180;;;;;;;;;;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;20828;12768;29;29;12710;2056;2333;992;1417;1309;1420;624;442;475;505;720;164;108;;;35;;;;;;98;12;;;;;;;;;;;;;;
Leidschendam-Voorburg;G1916;11103;Zuid-Holland;P28;55878;33751;90;97;33564;5203;7197;2903;3133;2775;3944;1955;1190;1037;1590;1558;177;279;;;90;;;;;;461;72;;;;;;;;;;;;;;
Lelystad;G0995;11110;Flevoland;P24;56825;29976;125;81;29770;5612;4038;1649;2238;3235;1358;3196;2001;1752;1322;1523;249;788;;;;;;;;;;;;;;;;;;;;;53;;524;232
Leudal;G1640;10840;Limburg;P31;28478;15546;30;65;15451;2171;1701;3804;908;790;1275;1681;985;182;478;474;;16;;;;;;;986;;;;;;;;;;;;;;;;;
Leusden;G0327;10978;Utrecht;P26;23301;15502;35;54;15413;1849;2780;1985;1928;1169;1297;524;973;1359;597;491;316;37;;;;;;;;;;;;;;;;;108;;;;;;;
Lingewaard;G1705;10744;Gelderland;P25;36361;20542;47;57;20438;3255;3721;2345;1887;1797;1758;1321;2020;345;715;943;40;38;;;;;;;;;;;237;;;;;;;;;;16;;;
Lisse;G0553;10197;Zuid-Holland;P28;17566;10875;24;19;10832;2171;1949;1249;631;607;957;561;365;506;350;538;625;12;;;21;;;;;;276;14;;;;;;;;;;;;;;
Lochem;G0262;11263;Gelderland;P25;27071;17427;32;55;17340;1773;3783;2198;2277;1857;1532;642;843;563;836;600;60;94;;;;;;;;;;;257;;;;;;;;;;25;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;18317;9414;26;45;9343;1521;1601;1356;648;581;619;821;770;;292;377;;26;;431;18;;168;;;;;;;;;68;;46;;;;;;;;
Lopik;G0331;10333;Utrecht;P26;11126;6904;17;27;6860;1091;979;1393;302;295;186;576;180;750;176;176;678;41;;;;;;;;;;;;;;;;;37;;;;;;;
Loppersum;G0024;10934;Groningen;P20;7709;4961;11;8;4942;312;275;692;486;468;155;182;590;670;159;66;;2;;;;;;678;;;;;;;207;;;;;;;;;;;
Losser;G0168;11166;Overijssel;P23;17921;9972;24;26;9922;1747;1353;2427;642;665;534;1028;562;161;251;497;34;21;;;;;;;;;;;;;;;;;;;;;;;;
Maasdriel;G0263;10341;Gelderland;P25;18560;10705;28;59;10618;2280;1725;1765;679;501;505;1046;690;228;342;470;260;27;;;;;;;;;;;100;;;;;;;;;;;;;
Maasgouw;G1641;10964;Limburg;P31;19538;10137;22;60;10055;1656;1003;2440;593;449;481;1245;599;94;408;579;;24;;;;;;;484;;;;;;;;;;;;;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;24959;13732;38;44;13650;2694;2007;1515;767;1215;783;1041;514;854;468;808;144;644;;;42;;;;;;82;58;;;;;;;;;;;14;;;
Maastricht;G0935;10182;Limburg;P31;87401;45438;187;122;45129;6684;4642;4687;6189;3689;4145;5795;3156;704;2427;1880;;415;;;;;;;716;;;;;;;;;;;;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;33984;19402;51;48;19303;3741;3332;2722;1472;1461;1308;1269;956;821;748;;;92;468;;365;;;;;517;;31;;;;;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;15332;8851;15;22;8814;1326;1058;1586;1040;493;518;1077;601;116;369;378;;13;;;;;;;239;;;;;;;;;;;;;;;;;
Meierijstad;G1948;10985;Noord-Brabant;P30;62144;32233;113;128;31992;4420;5316;6114;1995;1855;2421;2324;3493;;861;1120;;503;;634;243;;206;;;;;;;;;306;;181;;;;;;;;
Meppel;G0119;11204;Drenthe;P22;26010;15701;34;34;15633;1950;2411;1529;1577;1946;964;861;1084;1440;571;445;93;76;;;;;;;;;;;;;;;402;;;;184;;;100;;
Middelburg;G0687;10122;Zeeland;P29;37256;22057;55;64;21938;1898;2070;2667;2317;2440;1268;1018;1126;1776;1127;881;2224;235;;;;;;;;;;;;891;;;;;;;;;;;;
Midden-Delfland;G1842;10130;Zuid-Holland;P28;14792;9698;17;25;9656;1582;2054;1689;706;615;904;396;284;591;310;362;57;19;;;26;;;;;;43;13;;;;;;;;;;;5;;;
Midden-Drenthe;G1731;10520;Drenthe;P22;26607;16228;31;19;16178;2082;2551;2131;1109;2216;863;834;807;1106;564;632;152;7;;;;;;;;;;;;;;;415;;;;635;;;74;;
Midden-Groningen;G1952;10410;Groningen;P20;48393;24807;66;84;24657;3055;2084;1437;1796;2893;975;1987;2485;2077;709;773;;282;;;;;;2855;;;;;;;1249;;;;;;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8758;4921;16;20;4885;728;633;1242;223;209;189;343;516;;127;162;;6;;411;6;;21;;;;;;;;;43;;26;;;;;;;;
Moerdijk;G1709;10046;Noord-Brabant;P30;28965;15003;30;41;14932;2744;2411;1921;778;988;831;1318;1217;;488;653;;43;;641;28;;631;;;;;;;;;145;;95;;;;;;;;
Molenlanden;G1978;10451;Zuid-Holland;P28;33061;22214;33;28;22153;2787;2757;3040;618;1176;685;1164;679;3918;450;552;4006;26;;;85;;;;;;139;19;;;;;;;;;;;52;;;
Montferland;G1955;10350;Gelderland;P25;28969;15456;41;53;15362;2678;2329;2837;926;1156;884;1671;1039;188;475;782;34;78;;;;;;;;;;;271;;;;;;;;;;14;;;
Montfoort;G0335;10033;Utrecht;P26;10610;7096;13;14;7069;1031;1260;1141;615;459;435;379;207;559;168;222;506;27;;;;;;;;;;;;;;;;;60;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;6342;4086;10;7;4069;522;615;418;817;493;320;219;239;57;194;113;;5;;;;;;;57;;;;;;;;;;;;;;;;;
Neder-Betuwe;G1740;10916;Gelderland;P25;17411;11322;23;22;11277;1479;1001;847;293;725;232;871;292;719;194;254;4264;21;;;;;;;;;;;85;;;;;;;;;;;;;
Nederweert;G0946;10681;Limburg;P31;13676;7844;17;35;7792;1031;723;3095;377;273;385;713;567;44;205;202;;7;;;;;;;170;;;;;;;;;;;;;;;;;
Nieuwegein;G0356;10374;Utrecht;P26;48747;25780;78;99;25603;4153;3604;2204;2955;2373;1651;2256;1748;1216;1077;1464;186;398;;;;;;;;;;;;;;;;;318;;;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;22226;12689;24;26;12639;2600;2609;1988;723;749;862;748;310;606;351;615;279;22;;;56;;;;;;108;13;;;;;;;;;;;;;;
Nijkerk;G0267;10446;Gelderland;P25;32283;19873;32;57;19784;2802;3047;3070;1116;998;930;1266;484;2938;488;582;1672;173;;;;;;;;;;;179;;;;;;;;;;39;;;
Nijmegen;G0268;11209;Gelderland;P25;137504;79577;195;325;79057;7265;8216;4012;18554;8311;10099;3652;6879;1587;6238;2105;147;1282;;;;;;;;;;;710;;;;;;;;;;;;;
Nissewaard;G1930;10735;Zuid-Holland;P28;66366;32265;109;91;32065;8000;4072;1812;1655;2894;1398;4291;1997;1101;1207;2181;289;247;;;90;;;;;;731;35;;;;;;;;;;;65;;;
Noardeast-Fryslân;G1970;10198;Fryslân;P21;35150;19814;48;31;19735;2909;1370;4743;946;1612;423;1153;812;2015;468;353;278;6;;;;2229;;;;;;;;;;;;;;280;;138;;;;
Noord-Beveland;G1695;10250;Zeeland;P29;5904;3713;3;7;3703;523;465;706;207;271;130;288;163;111;171;170;237;5;;;;;;;;;;;;256;;;;;;;;;;;;
Noordenveld;G1699;10699;Drenthe;P22;25144;15650;19;41;15590;1877;2280;1211;1902;2391;1192;800;935;1049;604;521;63;7;;;;;;;;;;;;;;;340;;;;337;;;81;;
Noordoostpolder;G0171;10144;Flevoland;P24;33877;20945;47;66;20832;2903;2721;4166;1211;1379;781;1472;1322;2278;463;612;1159;142;;;;;;;;;;;;;;;;;;;;;52;;79;92
Noordwijk;G0575;10769;Zuid-Holland;P28;32511;19369;64;61;19244;4428;4385;2100;1336;1246;1507;1171;650;406;660;924;66;54;;;37;;;;;;254;20;;;;;;;;;;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;18221;11303;13;56;11234;1344;2090;1533;1289;767;956;544;1103;;448;531;;11;;291;18;;158;;;;;;;;;78;;73;;;;;;;;
Nunspeet;G0302;10512;Gelderland;P25;21017;14331;23;24;14284;1832;1209;1698;510;396;329;748;339;2460;267;327;4017;31;;;;;;;;;;;95;;;;;;;;;;26;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;17563;12148;17;35;12096;1352;2715;1022;1511;1068;1980;318;334;532;630;417;45;42;;;39;;;;;;84;7;;;;;;;;;;;;;;
Oirschot;G0823;10225;Noord-Brabant;P30;14867;8293;25;23;8245;1054;1472;1913;480;459;677;588;655;;248;337;;6;;141;23;;57;;;;;;;;;89;;46;;;;;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;20549;11456;20;49;11387;1547;2438;1514;1057;635;1172;632;857;;432;445;;33;;309;17;;118;;;;;;;;;122;;59;;;;;;;;
Oldambt;G1895;10453;Groningen;P20;30847;16394;48;73;16273;2274;1402;989;875;2153;599;1553;1981;954;464;507;;17;;;;;;1152;;;;;;;1353;;;;;;;;;;;
Oldebroek;G0269;11106;Gelderland;P25;17995;10872;29;10;10833;1270;621;1313;504;460;225;716;317;2798;229;240;1939;4;;;;;;;;;;;151;;;;;;;;;;46;;;
Oldenzaal;G0173;11100;Overijssel;P23;24797;14506;46;69;14391;2083;2618;2434;1788;1167;824;1149;857;186;360;707;33;185;;;;;;;;;;;;;;;;;;;;;;;;
Olst-Wijhe;G1773;10409;Overijssel;P23;14345;8522;12;10;8500;930;1133;1888;1250;895;528;441;525;226;302;299;66;17;;;;;;;;;;;;;;;;;;;;;;;;
Ommen;G0175;11069;Overijssel;P23;13823;8998;19;26;8953;1026;1200;2351;543;520;395;454;349;1404;217;277;209;8;;;;;;;;;;;;;;;;;;;;;;;;
Oost Gelre;G1586;11094;Gelderland;P25;23592;13590;38;57;13495;1886;2684;3250;811;1318;770;638;789;130;287;672;34;60;;;;;;;;;;;154;;;;;;;;;;12;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;43316;22044;43;62;21939;3498;3883;2199;1991;1371;1839;1796;1510;;754;967;;343;;1171;55;;269;;;;;;;;;187;;106;;;;;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;20562;12120;27;36;12057;1829;1292;1707;938;1612;430;846;716;745;553;388;88;11;;;;362;;;;;;;;;;;;;;425;;115;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;7604;4695;11;9;4675;1083;694;244;534;446;317;381;190;142;307;;;16;187;;68;;;;;60;;6;;;;;;;;;;;;;;
Opmeer;G0432;10609;Noord-Holland;P27;9080;5294;13;13;5268;970;871;1034;345;406;363;340;269;88;159;;;6;157;;95;;;;;159;;6;;;;;;;;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;23397;14147;27;34;14086;1462;1349;2003;1193;2111;750;698;864;1306;415;290;233;8;;;;953;;;;;;;;;;;;;;326;;125;;;;
Oss;G0828;10834;Noord-Brabant;P30;70280;37844;129;153;37562;5700;5447;4435;2745;1919;2666;3141;6646;;1218;1504;;794;;644;70;;255;;;;;;;;;243;;135;;;;;;;;
Oude IJsselstreek;G1509;10260;Gelderland;P25;31347;17109;42;63;17004;2274;2625;3034;1086;1569;919;1274;1745;360;528;863;52;382;;;;;;;;;;;282;;;;;;;;;;11;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;10243;6585;17;20;6548;877;1196;507;996;660;800;241;211;248;336;;;41;275;;98;;;;;52;;10;;;;;;;;;;;;;;
Oudewater;G0589;10188;Utrecht;P26;7866;4866;16;10;4840;732;811;1202;314;241;244;265;119;358;101;172;221;9;;;;;;;;;;;;;;;;;51;;;;;;;
Overbetuwe;G1734;11188;Gelderland;P25;36439;20776;53;56;20667;2954;3395;2797;2074;1635;1777;1325;1276;1021;757;799;470;98;;;;;;;;;;;267;;;;;;;;;;22;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;25245;13636;37;32;13567;2362;2065;1139;800;1004;716;1050;608;1430;413;687;765;118;;;62;;;;;;313;14;;;;;;;;;;;21;;;
